TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2026,5,11,3,50,12XX DAVIE ST,West End,490259.8276,5458839.5461
Break and Enter Commercial,2026,6,9,5,57,12XX DAVIE ST,West End,490263.4857,5458835.936
Break and Enter Commercial,2026,1,16,2,30,12XX DAVIE ST,West End,490286.0757,5458800.8438
Break and Enter Commercial,2026,3,6,0,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,3,11,11,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,1,15,5,31,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,3,6,11,25,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,4,11,23,0,12XX GRANVILLE ST,Central Business District,490735.5593,5458179.6551
Break and Enter Commercial,2026,4,3,17,28,12XX GRANVILLE ST,Central Business District,490794.8554,5458253.5616
Break and Enter Commercial,2026,4,1,20,31,12XX HARWOOD ST,West End,490127.9093,5458644.5276
Break and Enter Commercial,2026,5,30,13,35,12XX HORNBY ST,Central Business District,490575.9013,5458314.8358
Break and Enter Commercial,2026,5,10,20,20,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494244.7841,5455447.9722
Break and Enter Commercial,2026,5,13,1,24,12XX MAIN ST,Central Business District,492717.348,5457893.4414
Break and Enter Commercial,2026,7,18,15,0,12XX NAPIER ST,Strathcona,494366.4177,5458018.4409
Break and Enter Commercial,2026,4,7,17,17,12XX SEYMOUR ST,Central Business District,490868.9128,5458154.6316
Break and Enter Commercial,2026,2,8,11,43,12XX W 11TH AVE,Fairview,490293.5012,5456552.4812
Break and Enter Commercial,2026,2,8,3,24,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2026,3,25,0,0,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,3,25,19,0,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,6,28,1,45,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,3,15,14,44,12XX W 71ST AVE,Marpole,490239.5449,5450477.3793
Break and Enter Commercial,2026,7,26,6,41,12XX W BROADWAY AVE,Fairview,490289.3188,5456753.8591
